character,voice-actor,movie
Attina,Caroline Vasicek,The Little Mermaid
King Triton,Kenneth Mars,The Little Mermaid
Alana,Kimmy Robertson,The Little Mermaid
Arista,Kimmy Robertson,The Little Mermaid
Flotsam and Jetsam,Paddi Edwards,The Little Mermaid
Ursula,Pat Carroll,The Little Mermaid
Chef Louis,Rene Auberjonois,The Little Mermaid
Sebastian,Samuel E. Wright,The Little Mermaid
Adella,Sherry Lynn,The Little Mermaid
Andrina,Tara Strong,The Little Mermaid
Harold the Seahorse,Will Ryan,The Little Mermaid
Tiana,Anika Noni Rose,The Princess and the Frog
Prince Naveen,Bruno Campos,The Princess and the Frog
Harvey Fenner,Corey Burton,The Princess and the Frog
Marlon the Alligator,Emeril Lagasse,The Princess and the Frog
Mama Odie,Jenifer Lewis,The Princess and the Frog
Charlotte La Bouff,Jennifer Cody,The Princess and the Frog
Henry Fenner,Jerry Kernion,The Princess and the Frog
Ray the Firefly,Jim Cummings,The Princess and the Frog
"Eli ""Big Daddy"" La Bouff",John Goodman,The Princess and the Frog
Dr. Facilier,Keith David,The Princess and the Frog
Ian the Alligator,Kevin Michael Richardson,The Princess and the Frog
Buford the Cook,Michael Colyar,The Princess and the Frog
Louis the Alligator,Michael-Leon Wooley,The Princess and the Frog
Eudora,Oprah Winfrey,The Princess and the Frog
Two Fingers,Paul Briggs,The Princess and the Frog
Lawrence the Valet,Peter Bartlett,The Princess and the Frog
Cousin Randy,Randy Newman,The Princess and the Frog
Tobias the Reluctant Dragon,Barnett Parker,The Reluctant Dragon
Sir Giles,Claud Allister,The Reluctant Dragon
Chair Mouse,Bernard Fox,The Rescuers
Bernard,Bob Newheart,The Rescuers
Brutus and Nero,Candy Candido,The Rescuers
Digger the Mole,Dub Taylor,The Rescuers
Miss Bianca,Eva Gabor,The Rescuers
Madame Medusa,Geraldine Page,The Rescuers
Ellie Mae,Jeanette Nolan,The Rescuers
Orville,Jim Jordan,The Rescuers
Evinrude,Jimmy MacDonald,The Rescuers
Mr. Snoops,Joe Flynn,The Rescuers
Rufus,John McIntire,The Rescuers
Gramps,Larry Clemmons,The Rescuers
Penny,Michelle Stacy,The Rescuers
Luke,Pat Buttram,The Rescuers
Cody,Adam Ryen,The Rescuers Down Under
Doctor Mouse,Bernard Fox,The Rescuers Down Under
Faloo,Carla Meyer,The Rescuers Down Under
Krebbs,Douglas Seale,The Rescuers Down Under
Francois,Ed Gilbert,The Rescuers Down Under
Marahute,Frank Welker,The Rescuers Down Under
Percival C. McLeach,George C. Scott,The Rescuers Down Under
Wilbur,John Candy,The Rescuers Down Under
Red,Peter Firth,The Rescuers Down Under
Nurse Mouse,Russi Taylor,The Rescuers Down Under
Jake,Tristan Rogers,The Rescuers Down Under
Frank,Wayne Robson,The Rescuers Down Under
Sir Pellinore,Alan Napier,The Sword in the Stone
Archimedes,Junius Matthews,The Sword in the Stone
Merlin,Karl Swenson,The Sword in the Stone
Madam Mim,Martha Wentworth,The Sword in the Stone
Sir Kay,Norman Alden,The Sword in the Stone
Arthur/Wart,Richard Reitherman,The Sword in the Stone
Arthur/Wart,Rickie Sorensen,The Sword in the Stone
Arthur/Wart,Robert Reitherman,The Sword in the Stone
Sir Ector,Sebastian Cabot,The Sword in the Stone
Black Bart,Thurl Ravenscroft,The Sword in the Stone
Panchito Pistoles,Joaquin Garay,The Three Caballeros
Aracuan Bird,Pinto Colvig,The Three Caballeros
Donald Duck,Clarence Nash,The Three Caballeros
Jose Oliveira,Jose Carioca,The Three Caballeros
Yaya,Aurora Miranda,The Three Caballeros
Mr Potato Head,Don Rickles,Toy Story
Slinky Dog,Jim Varney,Toy Story
Wallace Shawn,Rex,Toy Story
Buzz Lightyear,Tim Allen,Toy Story
Woody,Tom Hanks,Toy Story
Mr Potato Head,Don Rickles,Toy Story 2
Jessie,Joan Cusak,Toy Story 2
Stinky Pete the Prospector,Kelsey Grammer,Toy Story 2
Buzz Lightyear,Tim Allen,Toy Story 2
Woody,Tom Hanks,Toy Story 2
Mr Potato Head,Don Rickles,Toy Story 3
Jessie,Joan Cusak,Toy Story 3
Lotso,Ned Beatty,Toy Story 3
Buzz Lightyear,Tim Allen,Toy Story 3
Woody,Tom Hanks,Toy Story 3
John Silver,Brian Murray,Treasure Planet
Onus,Corey Burton,Treasure Planet
Morph,Dane A. Davis,Treasure Planet
Dr. Doppler,David Hyde Pierce,Treasure Planet
Captain Amelia,Emma Thompson,Treasure Planet
Jim Hawkins,Joseph Gordon-Levitt,Treasure Planet
Sarah Hawkins,Laurie Metcalf,Treasure Planet
B.E.N.,Martin Short,Treasure Planet
Scroop,Michael Wincott,Treasure Planet
Hands,Micheal McShane,Treasure Planet
Billy Bones,Patrick McGoohan,Treasure Planet
Mr. Arrow,Roscoe Lee Browne,Treasure Planet
Dug,Bob Peterson,Up
Charles F. Muntz,Christopher Plummer,Up
Carl Fredricksen,Ed Asner,Up
Russell,Jordan Nagai,Up
Kevin,Pete Docter,Up
WALL-E,Ben Burtt,WALL-E
EVE,Elissa Knight,WALL-E
Captain B. McCrea,Jeff Garlin,WALL-E
Wynchel,Adam Carolla,Wreck-It Ralph
King Candy/Turbo,Alan Tudyk,Wreck-It Ralph
Crumbelina DiCaramello,Cymbre Walk,Wreck-It Ralph
General Hologram,Dennis Haysbert,Wreck-It Ralph
Mr. Litwak,Ed O'Neill,Wreck-It Ralph
Duncan,Horatio Sanz,Wreck-It Ralph
Fix-It Felix Jr.,Jack McBrayer,Wreck-It Ralph
Rancis Fluggerbutter,Jamie Elman,Wreck-It Ralph
Sergeant Calhoun,Jane Lynch,Wreck-It Ralph
Markowski,Joe Lo Truglio,Wreck-It Ralph
Wreck-It Ralph,John C. Reilly,Wreck-It Ralph
Jubileena Bing-Bing,Josie Trinidad,Wreck-It Ralph
Candlehead,Katie Lowes,Wreck-It Ralph
Taffyta Muttonfudge,Mindy Kaling,Wreck-It Ralph
Sour Bill,Rich Moore,Wreck-It Ralph
Vanellope von Schweetz,Sarah Silverman,Wreck-It Ralph
Duke Weaselton,Alan Tudyk,Zootopia
Bonnie Hopps,Bonnie Hunt,Zootopia
Bucky Oryx-Antlerson,Byron Howard,Zootopia
Stu Hopps,Don Lake,Zootopia
Judy Hopps,Ginnifer Goodwin,Zootopia
Chief Bogo,Idris Elba,Zootopia
Mayor Lionheart,J.K. Simmons,Zootopia
Pronk Oryx-Antlerson,Jared Bush,Zootopia
"Nicholas ""Nick"" P. Wilde",Jason Bateman,Zootopia
Assistant Mayor Dawn Bellwether,Jenny Slate,Zootopia
Jerry Jumbeaux Jr.,John DiMaggio,Zootopia
Jesse the Ram,John DiMaggio,Zootopia
Woolter the Ram,John DiMaggio,Zootopia
Mr. Big,Maurice LaMarche,Zootopia
Benjamin Clawhauser,Nate Torrence,Zootopia
Mrs. Otterton,Octavia Spencer,Zootopia
Flash Slothmore,Raymond S. Persi,Zootopia
Doug Ramses,Rich Moore,Zootopia
Gazelle,Shakira,Zootopia
Finnick,"Tommy ""Tiny"" Lister Jr.",Zootopia
Yax,Tommy Chong,Zootopia
Narrator,Sterling Holloway,Make Mine Music
Tetti-Tatti,Nelson Eddy,Make Mine Music
Donald Duck,Clarence Nash,Saludos Amigos
Jose Carioca,Jose Oliveira,Saludos Amigos
Goofy Goof,Pinto Colvig,Saludos Amigos
Mickey Mouse,Walt Disney,Fun and Fancy Free
Donald Duck,Clarence Nash,Fun and Fancy Free
Goofy Goof,Pinto Colvig,Fun and Fancy Free
Jiminy Cricket,Cliff Edwards,Fun and Fancy Free
Willie the Giant,Billy Gilbert,Fun and Fancy Free
Singing Harp,Anita Gordon,Fun and Fancy Free
Johnny Appleseed,Dennis Day,Melody Time
Johnny Appleseed's Angel,Dallas McKennon,Melody Time
Aracuan Bird,Pinto Colvig,Melody Time
Winnie the Pooh,Sterling Holloway,The Many Adventures of Winnie the Pooh
Tigger,Paul Winchell,The Many Adventures of Winnie the Pooh
Rabbit,Junius Matthews,The Many Adventures of Winnie the Pooh
Piglet,John Fiedler,The Many Adventures of Winnie the Pooh
Kanga,Barbara Luddy,The Many Adventures of Winnie the Pooh
Roo,Clint Howard,The Many Adventures of Winnie the Pooh
Owl,Hal Smith,The Many Adventures of Winnie the Pooh
Gopher,Howard Morris,The Many Adventures of Winnie the Pooh
Eeyore,Ralph Wright,The Many Adventures of Winnie the Pooh
Christopher Robin,Bruce Reitherman,The Many Adventures of Winnie the Pooh
"Winnie the Pooh, Tigger",Jim Cummings,Winnie the Pooh
Eeyore,Bud Luckey,Winnie the Pooh
Owl,Craig Ferguson,Winnie the Pooh
Christopher Robin,Jack Boulter,Winnie the Pooh
Rabbit,Tom Kenny,Winnie the Pooh
Kanga,Kristen Anderson Lopez,Winnie the Pooh
Roo,Wyatt Dean Hall,Winnie the Pooh
Backson,Huell Howser,Winnie the Pooh
